Tag,Name,VR,Value
"(0008, 0008)",Image Type,CS,"['ORIGINAL', 'PRIMARY']"
"(0008, 0012)",Instance Creation Date,DA,
"(0008, 0013)",Instance Creation Time,TM,
"(0008, 0016)",SOP Class UID,UI,1.2.840.10008.5.1.4.1.1.1
"(0008, 0018)",SOP Instance UID,UI,1.2.826.0.1.3680043.8.498.72533800876543798738969965510832915095
"(0008, 0020)",Study Date,DA,
"(0008, 0021)",Series Date,DA,
"(0008, 0023)",Content Date,DA,
"(0008, 0030)",Study Time,TM,072647
"(0008, 0033)",Content Time,TM,
"(0008, 0050)",Accession Number,SH,939
"(0008, 0060)",Modality,CS,CR
"(0008, 0070)",Manufacturer,LO,
"(0008, 0090)",Referring Physician's Name,PN,
"(0008, 0100)",Code Value,SH,
"(0008, 1030)",Study Description,LO,XRAY
"(0008, 103e)",Series Description,LO,XRAY
"(0010, 0010)",Patient's Name,PN,
"(0010, 0020)",Patient ID,LO,939
"(0010, 0030)",Patient's Birth Date,DA,
"(0010, 0040)",Patient's Sex,CS,
"(0010, 1010)",Patient's Age,AS,
"(0012, 0062)",Patient Identity Removed,CS,Yes
"(0018, 0015)",Body Part Examined,CS,
"(0020, 000d)",Study Instance UID,UI,1.2.826.0.1.3680043.8.498.12506063821850171756494207689001728484
"(0020, 000e)",Series Instance UID,UI,1.2.826.0.1.3680043.8.498.12754854321177212940363159597270003304
"(0020, 0010)",Study ID,SH,5
"(0020, 0011)",Series Number,IS,1
"(0020, 0013)",Instance Number,IS,1
"(0028, 0002)",Samples per Pixel,US,1
"(0028, 0004)",Photometric Interpretation,CS,MONOCHROME1
"(0028, 0010)",Rows,US,256
"(0028, 0011)",Columns,US,256
"(0028, 0030)",Pixel Spacing,DS,"[0.1, 0.1]"
"(0028, 0100)",Bits Allocated,US,16
"(0028, 0101)",Bits Stored,US,15
"(0028, 0102)",High Bit,US,14
"(0028, 0103)",Pixel Representation,US,0
"(0028, 1052)",Rescale Intercept,DS,0
"(0028, 1053)",Rescale Slope,DS,1
"(0028, 1054)",Rescale Type,LO,P-VALUES
"(0040, 0245)",Performed Procedure Step Start Time,TM,
